model_type,nt,pseudo_r2,pred_obs_r2,pred_obs_r2_exp,path,region,response,scale,rep
replicates,7550,0.49130244533512557,0.7996071749909688,0.6851762229465178,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_160.csv,GCFR,richness,QDS,160
replicates,8550,0.47709146462579355,0.8139419577486283,0.7020744101059331,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_161.csv,GCFR,richness,QDS,161
replicates,9100,0.5172465800354579,0.8209167248195915,0.70844783764262,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_162.csv,GCFR,richness,QDS,162
replicates,8400,0.48696437235836054,0.8106823902880532,0.6990084664506231,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_163.csv,GCFR,richness,QDS,163
replicates,7700,0.48809241708486173,0.8024212765727025,0.6928969532333216,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_164.csv,GCFR,richness,QDS,164
replicates,9250,0.5053270434490632,0.8226961862818638,0.7129901119285292,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_165.csv,GCFR,richness,QDS,165
replicates,8900,0.503710362448446,0.8179732373774079,0.7043051193139627,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_166.csv,GCFR,richness,QDS,166
replicates,8200,0.48262682634085174,0.8095181164448563,0.699430631193327,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_167.csv,GCFR,richness,QDS,167
replicates,7700,0.4800906010786268,0.8022165002421895,0.6894966477044063,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_168.csv,GCFR,richness,QDS,168
replicates,8300,0.4892762343728434,0.8108980530796064,0.6994569678268784,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_169.csv,GCFR,richness,QDS,169
replicates,7650,0.5008341092760029,0.800067945161623,0.689037567644208,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_16.csv,GCFR,richness,QDS,16
replicates,8400,0.4721089128698337,0.8117731391936438,0.7009444827208168,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_170.csv,GCFR,richness,QDS,170
replicates,9100,0.5034967270197297,0.8214792493183765,0.7078477681520748,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_171.csv,GCFR,richness,QDS,171
replicates,9300,0.517333026275894,0.8234692750548913,0.7096747559871267,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_172.csv,GCFR,richness,QDS,172
replicates,8350,0.5249546571802436,0.8101820193006166,0.6988111614006519,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_173.csv,GCFR,richness,QDS,173
replicates,8700,0.5148632035895202,0.8152374180686702,0.7046941709837097,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_174.csv,GCFR,richness,QDS,174
replicates,7800,0.4948895064450669,0.8037429119336104,0.6915695116080749,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_175.csv,GCFR,richness,QDS,175
replicates,8900,0.4900220596812558,0.8183131523180661,0.7060333276031194,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_176.csv,GCFR,richness,QDS,176
replicates,7700,0.489889065244159,0.8021041800396375,0.6877284287648986,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_177.csv,GCFR,richness,QDS,177
replicates,7350,0.45410966343997683,0.7967092907588529,0.6839076526225669,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_178.csv,GCFR,richness,QDS,178
replicates,8700,0.5026294909252509,0.8149173090736878,0.7030451713154515,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_179.csv,GCFR,richness,QDS,179
replicates,8750,0.4960298592821547,0.8176216850102339,0.7036160832282458,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_17.csv,GCFR,richness,QDS,17
replicates,7700,0.489314826328752,0.80161309158291,0.6890745835410251,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_180.csv,GCFR,richness,QDS,180
replicates,7350,0.479378800661053,0.7960232762282933,0.6845177341415216,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_181.csv,GCFR,richness,QDS,181
replicates,7450,0.4745856021902166,0.7978340503487122,0.6853005830363912,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_182.csv,GCFR,richness,QDS,182
replicates,8050,0.49465093744098165,0.80705097904443,0.6944655494761957,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_183.csv,GCFR,richness,QDS,183
replicates,7600,0.5038810359121239,0.8007756955466652,0.6865114009132384,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_184.csv,GCFR,richness,QDS,184
replicates,7250,0.46713542518022844,0.7951075199121355,0.6827438095547795,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_185.csv,GCFR,richness,QDS,185
replicates,8400,0.5073977940098174,0.8114747618335216,0.7001731797613431,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_186.csv,GCFR,richness,QDS,186
replicates,8850,0.4883105444137307,0.8179239298981857,0.7084181162359215,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_187.csv,GCFR,richness,QDS,187
replicates,7900,0.4984147761064578,0.8056606559767754,0.6935115664334459,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_188.csv,GCFR,richness,QDS,188
replicates,8600,0.49432336489099993,0.8149710859694823,0.7024218565515182,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_18.csv,GCFR,richness,QDS,18
replicates,7650,0.4742354982067152,0.801431711601776,0.6896461474718888,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_19.csv,GCFR,richness,QDS,19
