"","tnrs_cond","gnr_cond","consistent","submitted_name","tnrs_matched_name","number_gnr_matched_names","gnr_match_1","gnr_match_2","gnr_match_3","gnr_match_4"
"130",FALSE,FALSE,FALSE,"Erica pillarkopensis","Erica pilaarkopensis",1,"Erica pilaarkopensis",NA,NA,NA
"131",FALSE,FALSE,FALSE,"Erica savileae","Erica savilea",3,NA,"Erica L","Erica Peckham",NA
"132",FALSE,FALSE,FALSE,"Erica shannonii","Erica shannonea",1,"Erica shannonea",NA,NA,NA
"133",FALSE,FALSE,FALSE,"Erica sicifolia","Erica sicaefolia",1,"Erica sicaefolia",NA,NA,NA
"134",FALSE,FALSE,FALSE,"Erica walkeri","Erica walkeria",3,NA,"Erica L","Erica Peckham",NA
"135",FALSE,FALSE,FALSE,"Esterhuysenia grahambeckii","Esterhuysenia",2,NA,"Esterhuysenia L",NA,NA
"136",FALSE,FALSE,FALSE,"Faurea recondita","Faurea",2,NA,"Faurea Harv",NA,NA
"137",FALSE,FALSE,FALSE,"Frankenia fruticosa","Frankenia fruticulosa",2,NA,"Frankenia L",NA,NA
"138",FALSE,FALSE,FALSE,"Galium monticola","Galium monticolum",1,"Galium monticolum",NA,NA,NA
"139",FALSE,FALSE,FALSE,"Geissorhiza altimontana","Geissorhiza",2,NA,"Geissorhiza Ker",NA,NA
"140",FALSE,FALSE,FALSE,"Geissorhiza helmei","Geissorhiza",2,NA,"Geissorhiza Ker",NA,NA
"141",FALSE,FALSE,FALSE,"Geissorhiza lapidosa","Geissorhiza",2,NA,"Geissorhiza Ker",NA,NA
"142",FALSE,FALSE,FALSE,"Geissorhiza monticola","Geissorhiza",2,NA,"Geissorhiza Ker",NA,NA
"143",FALSE,FALSE,FALSE,"Geissorhiza saxicola","Geissorhiza",2,NA,"Geissorhiza Ker",NA,NA
"144",FALSE,FALSE,FALSE,"Geissorhiza tricolor","Geissorhiza",2,NA,"Geissorhiza Ker",NA,NA
"145",FALSE,FALSE,FALSE,"Glia decidua","Glia",2,NA,"Glia Sond",NA,NA
"146",FALSE,FALSE,FALSE,"Gnidia burmannii","Gnidia burmanii",1,"Gnidia burmanii",NA,NA,NA
"147",FALSE,FALSE,FALSE,"Gnidia similis","Gnidia",3,"Gnidia L",NA,"Gnidia aff",NA
"148",FALSE,FALSE,FALSE,"Hakea drupacea","Hakea",2,"Hakea Schrad",NA,NA,NA
"149",FALSE,FALSE,FALSE,"Hammeria gracilis","Hammeria",1,NA,NA,NA,NA
"150",FALSE,FALSE,FALSE,"Hartmanthus pergamentaceus","Hartmanthus",0,NA,NA,NA,NA
"151",FALSE,FALSE,FALSE,"Haworthia pallidifolia","Haworthia",3,NA,"Haworthia Duval","Haworthia baker",NA
"152",FALSE,FALSE,FALSE,"Hemimeris dielsiana","Hemimeris",2,NA,"Hemimeris L",NA,NA
"153",FALSE,FALSE,FALSE,"Hereroa glenensis","Hereroa",2,"Hereroa ",NA,NA,NA
"154",FALSE,FALSE,FALSE,"Hereroa pallens","Hereroa",2,"Hereroa ",NA,NA,NA
"155",FALSE,FALSE,FALSE,"Hermannia cordata","Hermannia",1,"Hermannia coronata",NA,NA,NA
"156",FALSE,FALSE,FALSE,"Hermannia dichroma","Hermannia",3,"Hermannia L","Hermannia ","Hermannia Nicolet",NA
"157",FALSE,FALSE,FALSE,"Hermannia johanssenii","Hermannia johansseni",1,"Hermannia johansseni",NA,NA,NA
"158",FALSE,FALSE,FALSE,"Hermannia marginata","Hermannia",3,"Hermannia L","Hermannia ","Hermannia Nicolet",NA
"159",FALSE,FALSE,FALSE,"Hesperantha palustris","Hesperantha",2,NA,"Hesperantha Ker",NA,NA
"160",FALSE,FALSE,FALSE,"Hilliardiella nudicaulis","Hilliardiella",2,NA,"Hilliardiella H",NA,NA
"161",FALSE,FALSE,FALSE,"Holothrix mac-owaniana","Holothrix macowaniana",1,"Holothrix macowaniana",NA,NA,NA
"162",FALSE,FALSE,FALSE,"Ifloga lerouxiae","Ifloga",2,NA,"Ifloga Cass",NA,NA
"163",FALSE,FALSE,FALSE,"Isoetes eludens","Isoetes",2,NA,"Isoetes L",NA,NA
"164",FALSE,FALSE,FALSE,"Isoetes stephanseniae","Isoetes stephansenii",1,"Isoetes stephansenii",NA,NA,NA
"165",FALSE,FALSE,FALSE,"Itea rhamnoides","Itea",1,"Itea L",NA,NA,NA
"166",FALSE,FALSE,FALSE,"Ixia mollis","Ixia",2,NA,"Ixia L",NA,NA
"167",FALSE,FALSE,FALSE,"Ixia monticola","Ixia",2,NA,"Ixia L",NA,NA
"168",FALSE,FALSE,FALSE,"Ixia parva","Ixia",2,NA,"Ixia L",NA,NA
"169",FALSE,FALSE,FALSE,"Ixia recondita","Ixia",2,NA,"Ixia L",NA,NA
"170",FALSE,FALSE,FALSE,"Ixia stenophylla","Ixia",2,NA,"Ixia L",NA,NA
"171",FALSE,FALSE,FALSE,"Jacobsenia vaginata","Jacobsenia",3,NA,"Jacobsenia L","Jacobsenia H",NA
"172",FALSE,FALSE,FALSE,"Justicia australis","Justicia",2,"Justicia L","Justicia Jorge",NA,NA
"173",FALSE,FALSE,FALSE,"Justicia crassiuscula","Justicia",2,"Justicia L","Justicia Jorge",NA,NA
"174",FALSE,FALSE,FALSE,"Justicia dregei","Justicia",2,"Justicia L","Justicia Jorge",NA,NA
"175",FALSE,FALSE,FALSE,"Justicia karroica","Justicia",2,"Justicia L","Justicia Jorge",NA,NA
"176",FALSE,FALSE,FALSE,"Justicia namibensis","Justicia",2,"Justicia L","Justicia Jorge",NA,NA
"177",FALSE,FALSE,FALSE,"Justicia saxatilis","Justicia",2,"Justicia L","Justicia Jorge",NA,NA
"178",FALSE,FALSE,FALSE,"Lachenalia bruynsii","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"179",FALSE,FALSE,FALSE,"Lachenalia canaliculata","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"180",FALSE,FALSE,FALSE,"Lachenalia glauca","Lachenalia glaucina",1,"Lachenalia glaucina",NA,NA,NA
"181",FALSE,FALSE,FALSE,"Lachenalia karoopoortensis","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"182",FALSE,FALSE,FALSE,"Lachenalia krugeri","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"183",FALSE,FALSE,FALSE,"Lachenalia magentea","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"184",FALSE,FALSE,FALSE,"Lachenalia martleyi","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"185",FALSE,FALSE,FALSE,"Lachenalia membranacea","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"186",FALSE,FALSE,FALSE,"Lachenalia patentissima","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"187",FALSE,FALSE,FALSE,"Lachenalia pygmaea","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"188",FALSE,FALSE,FALSE,"Lachenalia suaveolens","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"189",FALSE,FALSE,FALSE,"Lachenalia summerfieldii","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"190",FALSE,FALSE,FALSE,"Lachenalia vanzyliae","Lachenalia",3,NA,"Lachenalia J","Lachenalia Jacq",NA
"191",FALSE,FALSE,FALSE,"Lampranthus arenicola","Lampranthus arenicolus",1,"Lampranthus arenicolus",NA,NA,NA
"192",FALSE,FALSE,FALSE,"Lampranthus austricola","Lampranthus austricolus",1,"Lampranthus austricolus",NA,NA,NA
"193",FALSE,FALSE,FALSE,"Lampranthus borealis","Lampranthus",1,"Sapranthus borealis",NA,NA,NA
"194",FALSE,FALSE,FALSE,"Lampranthus brevistaminus","Lampranthus brevistamineus",1,"Lampranthus brevistamineus",NA,NA,NA
"195",FALSE,FALSE,FALSE,"Lampranthus coralliflora","Lampranthus coralliflorus",1,"Lampranthus coralliflorus",NA,NA,NA
"196",FALSE,FALSE,FALSE,"Lampranthus emarginatoides","Lampranthus",1,"Lampranthus N",NA,NA,NA
"197",FALSE,FALSE,FALSE,"Lampranthus glaucoides","Lampranthus",1,"Lampranthus N",NA,NA,NA
"198",FALSE,FALSE,FALSE,"Lampranthus gydouwensis","Lampranthus",1,"Lampranthus N",NA,NA,NA
"199",FALSE,FALSE,FALSE,"Lampranthus mutatus","Lampranthus mutans",1,"Lampranthus mutans",NA,NA,NA
"200",FALSE,FALSE,FALSE,"Lampranthus otzenianus","Lampranthus",1,"Lampranthus N",NA,NA,NA
