species,n_collections
Pentameris velutina,67
Romulea membranacea,67
Senecio pinifolius,67
Strumaria tenella,67
Aspalathus incurvifolia,66
Athanasia rugulosa,66
Babiana curviscapa,66
Brunia laevis,66
Cliffortia eriocephalina,66
Cliffortia ilicifolia,66
Cliffortia rigida,66
Cotula burchellii,66
Cyclopia falcata,66
Disa spathulata,66
Erica ericoides,66
Erica fimbriata,66
Erica selaginifolia,66
Ficinia zeyheri,66
Gladiolus scullyi,66
Helichrysum hamulosum,66
Jordaaniella dubia,66
Justicia thymifolia,66
Leucadendron microcephalum,66
Moraea papilionacea,66
Osmitopsis osmitoides,66
Pelargonium grossularioides,66
Pelargonium hispidum,66
Pentaschistis tortuosa,66
Phylica excelsa,66
Platycaulos callistachyus,66
Salvia dentata,66
Satyrium acuminatum,66
