species,n_collections
Ehrharta ottonis,111
Erica melastoma,111
Gnaphalium declinatum,111
Hakea sericea,111
Indigofera meyeriana,111
Leucadendron galpinii,111
Mesembryanthemum guerichianum,111
Oxalis purpurea,111
Pelargonium praemorsum,111
Pentameris patula,111
Scabiosa columbaria,111
Sporobolus africanus,111
Tetraria sylvatica,111
Trachyandra prolifera,111
Tribolium curvum,111
Watsonia aletroides,111
Bulbine favosa,110
Cyphia digitata,110
Diastella proteoides,110
Dilatris pillansii,110
Drosanthemum floribundum,110
Epilobium tetragonum,110
Gazania lichtensteinii,110
Indigofera nigromontana,110
Mesembryanthemum tetragonum,110
Muraltia ericoides,110
Ornithogalum thyrsoides,110
Pelargonium candicans,110
Protea subulifolia,110
Bulbinella trinervis,109
Cladoraphis spinosa,109
Conophytum bilobum,109
Erica thomae,109
Erica urceolata,109
Heliophila variabilis,109
Justicia leucodermis,109
Phylica rubra,109
Wahlenbergia wyleyana,109
Aspalathus asparagoides,108
Aspalathus cordata,108
Babiana tubiflora,108
Gasteria obliqua,108
Gnidia suavissima,108
Helichrysum foetidum,108
Heliophila africana,108
Lobelia linearis,108
Mastersiella spathulata,108
Nivenia stokoei,108
Pelargonium odoratissimum,108
Sarcocornia pillansii,108
Adenandra marginata,107
Arctotis fastuosa,107
Bobartia paniculata,107
Ehrharta thunbergii,107
Ferraria brevifolia,107
Lyperia tristis,107
Phylica nervosa,107
Plecostachys serpyllifolia,107
Satyrium longicolle,107
Struthiola myrsinites,107
Ursinia cakilefolia,107
Aspalathus carnosa,106
Aspalathus hystrix,106
Aspalathus opaca,106
Disa obtusa,106
Empleurum unicapsulare,106
Felicia merxmuelleri,106
Ficinia filiformis,106
Lampranthus swartbergensis,106
Leucospermum cordifolium,106
Psoralea oligophylla,106
Restio egregius,106
Salvia africana-caerulea,106
Trachyandra hirsuta,106
Babiana fragrans,105
Clutia polifolia,105
Erica parilis,105
Hermannia alnifolia,105
Hermannia coccocarpa,105
Holothrix cernua,105
Myrsine gilliana,105
Pelargonium cordifolium,105
Polygala africana,105
Pterygodium volucris,105
Searsia rosmarinifolia,105
Silene undulata,105
Aristea bakeri,104
Erica tenella,104
Helichrysum hebelepis,104
Lobostemon glaucophyllus,104
Mesembryanthemum canaliculatum,104
Notobubon capense,104
Polygala garcinii,104
Protea glabra,104
Schismus schismoides,104
Strumaria truncata,104
Tritoniopsis parviflora,104
Watsonia laccata,104
Erica aristata,103
Erica brevifolia,103
Erica demissa,103
Gladiolus liliaceus,103
Gnidia nodiflora,103
Leucadendron modestum,103
Leucadendron stellare,103
Pelargonium carnosum,103
Polygala virgata,103
Protea magnifica,103
Ranunculus rionii,103
Serruria fucifolia,103
Tarchonanthus littoralis,103
Aulax cancellata,102
Bromus ferronii,102
Cynanchum obtusifolium,102
Erica arcuata,102
Felicia fruticosa,102
Grewia occidentalis,102
Hermannia scabra,102
Leucadendron coniferum,102
Lobelia tomentosa,102
