region,hdgc,HDS_richness,n_QDS,mean_QDS_richness,mean_QDS_jaccard,add_residual_turnover,add_residual_turnover_prop,mul_residual_turnover
SWA,E115S32B,1996,4,844.25,0.777487021472732,1151.75,0.5770290581162325,2.3642286052709505
SWA,E115S31D,2622,4,1042.25,0.773198640334049,1579.75,0.6024980930587338,2.515711201727033
SWA,E113S26D,304,4,97.75,0.936480939279533,206.25,0.678453947368421,3.1099744245524295
SWA,E115S28D,841,4,338,0.790236815649632,503,0.5980975029726516,2.4881656804733727
SWA,E114S27D,905,4,385.75,0.796756772063818,519.25,0.5737569060773481,2.346079066753078
SWA,E115S28B,397,4,135.25,0.901608915948235,261.75,0.6593198992443325,2.9353049907578557
SWA,E115S31B,1306,4,617,0.679436480887478,689,0.5275650842266463,2.1166936790923825
SWA,E117S29D,155,4,46,0.951280314024297,109,0.7032258064516129,3.369565217391304
SWA,E116S28B,335,4,124,0.805459308781798,211,0.6298507462686567,2.7016129032258065
SWA,E116S33C,1009,4,427.25,0.739827355929787,581.75,0.5765609514370664,2.361614979520187
SWA,E119S32C,746,4,284.5,0.824010679244698,461.5,0.618632707774799,2.622144112478032
SWA,E118S32D,699,4,268.25,0.821728745804638,430.75,0.6162374821173104,2.6057781919850886
SWA,E119S33A,847,4,349.75,0.773227452714118,497.25,0.5870720188902007,2.4217298070050037
SWA,E118S32B,702,4,256.75,0.851259877902523,445.25,0.6342592592592593,2.7341772151898733
SWA,E118S33B,884,4,384.5,0.760866563649949,499.5,0.5650452488687783,2.2990897269180754
SWA,E117S32B,795,4,320.25,0.796072054281817,474.75,0.5971698113207548,2.4824355971896956
SWA,E118S32A,863,4,324,0.82561547231473,539,0.6245654692931634,2.6635802469135803
SWA,E118S33A,1036,4,422,0.789073172806587,614,0.5926640926640927,2.4549763033175354
SWA,E117S33B,829,4,317.25,0.825391472621265,511.75,0.6173100120627262,2.613081166272656
SWA,E118S33C,882,4,345.75,0.793792097430878,536.25,0.6079931972789115,2.5509761388286334
