region,HDS_cell_no,richness,avg_QDS_richness,avg_QDS_turnover,rank
GCFR,cell_275,174,313,0.6379310344827587,genus
GCFR,cell_276,404,1322,0.4904141080353902,genus
GCFR,cell_277,381,685.25,0.6952321066977039,genus
GCFR,cell_278,207,200.5,0.7421210846391926,genus
GCFR,cell_279,171,190.66666666666666,0.8204687824253041,genus
GCFR,cell_305,242,640,0.5661157024793388,genus
GCFR,cell_306,426,1521.25,0.6221893658608577,genus
GCFR,cell_307,463,2611.75,0.6187510744219704,genus
GCFR,cell_308,215,291.75,0.54358422143031,genus
GCFR,cell_309,270,576.5,0.6070386544148325,genus
GCFR,cell_310,135,162.66666666666666,0.8419510994666979,genus
GCFR,cell_311,74,70.5,0.7837837837837838,genus
GCFR,cell_312,98,192,NaN,genus
GCFR,cell_335,284,438,0.6888168508024776,genus
GCFR,cell_336,371,1218.25,0.524894857083894,genus
GCFR,cell_337,450,1900.25,0.5295351820881994,genus
GCFR,cell_338,336,649.5,0.821028495334483,genus
GCFR,cell_339,124,89.5,0.7959098951410579,genus
GCFR,cell_340,164,197.25,0.7296114761920658,genus
GCFR,cell_341,20,22,NaN,genus
GCFR,cell_365,387,1323.3333333333333,0.5169257702660525,genus
GCFR,cell_366,339,762.5,0.6339926481201017,genus
GCFR,cell_367,551,3592.25,0.4784676498075746,genus
GCFR,cell_368,379,965,0.6440743598886812,genus
GCFR,cell_369,247,321,0.6588656475988468,genus
GCFR,cell_370,364,906.25,0.5893167740975689,genus
GCFR,cell_371,331,1521.5,0.5981873111782477,genus
GCFR,cell_372,174,634,NaN,genus
GCFR,cell_373,441,1526.6666666666667,0.6630003637081266,genus
GCFR,cell_374,243,396.3333333333333,0.9123606431106137,genus
GCFR,cell_375,247,314.75,0.7949462030236022,genus
GCFR,cell_376,112,158,0.8125,genus
GCFR,cell_377,134,158.66666666666666,0.8656565656565657,genus
GCFR,cell_378,76,189,NaN,genus
GCFR,cell_396,768,5108.25,0.5276491488330145,genus
GCFR,cell_397,602,4764,0.4968176608812142,genus
GCFR,cell_398,469,1422,0.6113313586396651,genus
GCFR,cell_399,443,1063.5,0.7031615369219195,genus
GCFR,cell_400,544,1696.5,0.6253674034060922,genus
GCFR,cell_401,439,1514.75,0.6177180160622755,genus
GCFR,cell_402,286,626.6666666666666,0.6478948264007242,genus
GCFR,cell_403,560,1559.25,0.7008427295364169,genus
GCFR,cell_404,628,1298.75,0.702862521214727,genus
GCFR,cell_405,499,1158.75,0.6590479844698491,genus
GCFR,cell_406,482,1098,0.6483970194572953,genus
GCFR,cell_407,386,684.25,0.6594885120949511,genus
GCFR,cell_408,393,539.5,0.7150385398023849,genus
GCFR,cell_409,607,1307.25,0.613834835838448,genus
GCFR,cell_425,615,11732,NaN,genus
GCFR,cell_426,545,8611,NaN,genus
GCFR,cell_427,598,5575,0.4393098500531009,genus
GCFR,cell_428,505,1958,0.5552341053924424,genus
GCFR,cell_429,539,1684,0.646793911661288,genus
GCFR,cell_430,435,1435,0.6273848337803153,genus
GCFR,cell_431,540,1920.6666666666667,0.563026260927166,genus
GCFR,cell_432,327,1015,0.7003058103975535,genus
GCFR,cell_433,303,1647,NaN,genus
GCFR,cell_438,203,487,NaN,genus
GCFR,cell_458,338,3039,0.4378698224852071,genus
GCFR,cell_459,329,2498,NaN,genus
SWAFR,cell_63,91,220,NaN,genus
