region,hdgc,dgc,lat,lon,n_collections,HDS_richness,mean_QDS_richness
SWAFR,E119S32B,E119S32,-32.25,119.75,2997,753,316
SWAFR,E119S32C,E119S32,-32.75,119.25,2140,740,282.75
SWAFR,E119S32D,E119S32,-32.75,119.75,2074,618,227.25
SWAFR,E119S33A,E119S33,-33.25,119.25,3296,832,344.75
SWAFR,E119S33B,E119S33,-33.25,119.75,6069,1108,528.75
SWAFR,E119S33C,E119S33,-33.75,119.25,3100,917,356.5
SWAFR,E119S33D,E119S33,-33.75,119.75,6705,1348,579.5
SWAFR,E119S34A,E119S34,-34.25,119.25,6840,1293,570.25
SWAFR,E120S32A,E120S32,-32.25,120.25,862,360,113.75
SWAFR,E120S32C,E120S32,-32.75,120.25,1033,425,136
SWAFR,E120S32D,E120S32,-32.75,120.75,1682,479,180.25
SWAFR,E120S33A,E120S33,-33.25,120.25,2222,756,268.25
SWAFR,E120S33B,E120S33,-33.25,120.75,1401,535,192
SWAFR,E120S33C,E120S33,-33.75,120.25,14597,1553,720.5
SWAFR,E120S33D,E120S33,-33.75,120.75,3078,841,353.75
SWAFR,E121S32C,E121S32,-32.75,121.25,2595,633,239.5
SWAFR,E121S32D,E121S32,-32.75,121.75,2375,518,184.75
SWAFR,E121S33A,E121S33,-33.25,121.25,1772,512,178.75
SWAFR,E121S33B,E121S33,-33.25,121.75,3741,729,316.5
SWAFR,E121S33C,E121S33,-33.75,121.25,3188,793,356.5
SWAFR,E121S33D,E121S33,-33.75,121.75,5269,1147,438.5
SWAFR,E122S32C,E122S32,-32.75,122.25,70,56,14
SWAFR,E122S32D,E122S32,-32.75,122.75,139,94,24.25
SWAFR,E122S33A,E122S33,-33.25,122.25,2813,734,277
SWAFR,E122S33B,E122S33,-33.25,122.75,1219,450,155.75
SWAFR,E122S33C,E122S33,-33.75,122.25,5281,1015,416.25
SWAFR,E122S33D,E122S33,-33.75,122.75,4277,846,404.25
SWAFR,E123S32C,E123S32,-32.75,123.25,509,268,78
SWAFR,E123S33A,E123S33,-33.25,123.25,3558,879,314.5
SWAFR,E123S33B,E123S33,-33.25,123.75,222,153,40.75
SWAFR,E123S33C,E123S33,-33.75,123.25,2818,774,299.25
SWAFR,E124S32D,E124S32,-32.75,124.75,371,172,54
GCFR,E016S34C,E016S34,-34.75,16.25,NA,NA,NA
GCFR,E016S34A,E016S34,-34.25,16.25,NA,NA,NA
GCFR,E016S33C,E016S33,-33.75,16.25,NA,NA,NA
GCFR,E016S33A,E016S33,-33.25,16.25,NA,NA,NA
GCFR,E016S32C,E016S32,-32.75,16.25,NA,NA,NA
GCFR,E016S32A,E016S32,-32.25,16.25,NA,NA,NA
GCFR,E016S31C,E016S31,-31.75,16.25,NA,NA,NA
GCFR,E016S31A,E016S31,-31.25,16.25,NA,NA,NA
GCFR,E016S30C,E016S30,-30.75,16.25,NA,NA,NA
GCFR,E016S30A,E016S30,-30.25,16.25,NA,NA,NA
GCFR,E016S29C,E016S29,-29.75,16.25,NA,NA,NA
GCFR,E016S29A,E016S29,-29.25,16.25,NA,NA,NA
GCFR,E016S28C,E016S28,-28.75,16.25,NA,NA,NA
GCFR,E016S28A,E016S28,-28.25,16.25,NA,NA,NA
GCFR,E016S27C,E016S27,-27.75,16.25,NA,NA,NA
GCFR,E016S27A,E016S27,-27.25,16.25,NA,NA,NA
GCFR,E016S34D,E016S34,-34.75,16.75,NA,NA,NA
GCFR,E016S34B,E016S34,-34.25,16.75,NA,NA,NA
GCFR,E016S33D,E016S33,-33.75,16.75,NA,NA,NA
GCFR,E016S33B,E016S33,-33.25,16.75,NA,NA,NA
GCFR,E016S32D,E016S32,-32.75,16.75,NA,NA,NA
GCFR,E016S32B,E016S32,-32.25,16.75,NA,NA,NA
GCFR,E016S31D,E016S31,-31.75,16.75,NA,NA,NA
GCFR,E016S31B,E016S31,-31.25,16.75,NA,NA,NA
GCFR,E016S30D,E016S30,-30.75,16.75,NA,NA,NA
GCFR,E016S30B,E016S30,-30.25,16.75,NA,NA,NA
GCFR,E016S29D,E016S29,-29.75,16.75,NA,NA,NA
GCFR,E016S29B,E016S29,-29.25,16.75,NA,NA,NA
GCFR,E016S28B,E016S28,-28.25,16.75,NA,NA,NA
GCFR,E016S27D,E016S27,-27.75,16.75,NA,NA,NA
GCFR,E016S27B,E016S27,-27.25,16.75,NA,NA,NA
GCFR,E017S34C,E017S34,-34.75,17.25,NA,NA,NA
GCFR,E017S34A,E017S34,-34.25,17.25,NA,NA,NA
GCFR,E017S33C,E017S33,-33.75,17.25,NA,NA,NA
GCFR,E017S33A,E017S33,-33.25,17.25,NA,NA,NA
GCFR,E017S32C,E017S32,-32.75,17.25,NA,NA,NA
GCFR,E017S32A,E017S32,-32.25,17.25,NA,NA,NA
GCFR,E017S31C,E017S31,-31.75,17.25,NA,NA,NA
GCFR,E017S31A,E017S31,-31.25,17.25,NA,NA,NA
GCFR,E017S30C,E017S30,-30.75,17.25,NA,NA,NA
GCFR,E017S30A,E017S30,-30.25,17.25,NA,NA,NA
GCFR,E017S28A,E017S28,-28.25,17.25,NA,NA,NA
GCFR,E017S27C,E017S27,-27.75,17.25,NA,NA,NA
GCFR,E017S27A,E017S27,-27.25,17.25,NA,NA,NA
GCFR,E017S34D,E017S34,-34.75,17.75,NA,NA,NA
GCFR,E017S34B,E017S34,-34.25,17.75,NA,NA,NA
GCFR,E017S33D,E017S33,-33.75,17.75,NA,NA,NA
GCFR,E017S33B,E017S33,-33.25,17.75,NA,NA,NA
GCFR,E017S32D,E017S32,-32.75,17.75,NA,NA,NA
GCFR,E017S32B,E017S32,-32.25,17.75,NA,NA,NA
GCFR,E017S31D,E017S31,-31.75,17.75,NA,NA,NA
GCFR,E017S31B,E017S31,-31.25,17.75,NA,NA,NA
GCFR,E017S28D,E017S28,-28.75,17.75,NA,NA,NA
GCFR,E017S28B,E017S28,-28.25,17.75,NA,NA,NA
GCFR,E017S27D,E017S27,-27.75,17.75,NA,NA,NA
GCFR,E017S27B,E017S27,-27.25,17.75,NA,NA,NA
GCFR,E018S34C,E018S34,-34.75,18.25,NA,NA,NA
GCFR,E018S34A,E018S34,-34.25,18.25,NA,NA,NA
GCFR,E018S33C,E018S33,-33.75,18.25,NA,NA,NA
GCFR,E018S32A,E018S32,-32.25,18.25,NA,NA,NA
GCFR,E018S31C,E018S31,-31.75,18.25,NA,NA,NA
GCFR,E018S28C,E018S28,-28.75,18.25,NA,NA,NA
GCFR,E018S28A,E018S28,-28.25,18.25,NA,NA,NA
GCFR,E018S27C,E018S27,-27.75,18.25,NA,NA,NA
GCFR,E018S27A,E018S27,-27.25,18.25,NA,NA,NA
GCFR,E018S34D,E018S34,-34.75,18.75,NA,NA,NA
GCFR,E018S29D,E018S29,-29.75,18.75,NA,NA,NA
GCFR,E018S29B,E018S29,-29.25,18.75,NA,NA,NA
GCFR,E018S28D,E018S28,-28.75,18.75,NA,NA,NA
GCFR,E018S28B,E018S28,-28.25,18.75,NA,NA,NA
GCFR,E018S27D,E018S27,-27.75,18.75,NA,NA,NA
GCFR,E018S27B,E018S27,-27.25,18.75,NA,NA,NA
GCFR,E019S34C,E019S34,-34.75,19.25,NA,NA,NA
GCFR,E019S30A,E019S30,-30.25,19.25,NA,NA,NA
GCFR,E019S29C,E019S29,-29.75,19.25,NA,NA,NA
GCFR,E019S28C,E019S28,-28.75,19.25,NA,NA,NA
GCFR,E019S28A,E019S28,-28.25,19.25,NA,NA,NA
GCFR,E019S27C,E019S27,-27.75,19.25,NA,NA,NA
GCFR,E019S27A,E019S27,-27.25,19.25,NA,NA,NA
GCFR,E019S34D,E019S34,-34.75,19.75,NA,NA,NA
GCFR,E019S30D,E019S30,-30.75,19.75,NA,NA,NA
GCFR,E019S30B,E019S30,-30.25,19.75,NA,NA,NA
GCFR,E019S29D,E019S29,-29.75,19.75,NA,NA,NA
GCFR,E019S29B,E019S29,-29.25,19.75,NA,NA,NA
