resolution,region,variable,roughness,z_roughness
0.05 x 0.05,GCFR,Elevation,141.85927339669848,1.2406903330148609
0.05 x 0.05,GCFR,Elevation,67.71411462854991,0.15534638403743292
0.05 x 0.05,GCFR,Elevation,51.80576135705055,-0.07752161770773666
0.05 x 0.05,GCFR,Elevation,74.9389987635691,0.2611049313018116
0.05 x 0.05,GCFR,Elevation,236.87310011007932,2.6315118459206697
0.05 x 0.05,GCFR,Elevation,158.63904181857606,1.4863141933517927
0.05 x 0.05,GCFR,Elevation,127.80253904058686,1.0349265066334852
0.05 x 0.05,GCFR,Elevation,44.768000613239394,-0.1805410348153528
0.05 x 0.05,GCFR,Elevation,74.42284032900109,0.2535493546063213
0.05 x 0.05,GCFR,Elevation,35.167834245180806,-0.32106919133775846
0.05 x 0.05,GCFR,Elevation,51.28940590807781,-0.08508007831898878
0.05 x 0.05,GCFR,Elevation,46.36451826761814,-0.15717105618958752
0.05 x 0.05,GCFR,Elevation,74.90928641488318,0.26066999909056626
0.05 x 0.05,GCFR,Elevation,65.1759383184756,0.11819231564854152
0.05 x 0.05,GCFR,Elevation,320.50906425268306,3.8557831147019153
0.05 x 0.05,GCFR,Elevation,32.258656042835575,-0.3636540210268523
0.05 x 0.05,GCFR,Elevation,41.61486342711295,-0.22669695951920793
0.05 x 0.05,GCFR,Elevation,71.30310044325523,0.20788230279022402
0.05 x 0.05,GCFR,Elevation,142.68479799117844,1.2527744412457515
0.05 x 0.05,GCFR,Elevation,178.29687747695726,1.7740674780744374
0.05 x 0.05,GCFR,Elevation,150.9896317778807,1.3743413951428505
0.05 x 0.05,GCFR,Elevation,220.89613448034152,2.397639489891601
0.05 x 0.05,GCFR,Elevation,134.57540406054946,1.1340683547161559
0.05 x 0.05,GCFR,Elevation,54.69290528061816,-0.03525932790578707
0.05 x 0.05,GCFR,Elevation,42.56430780279344,-0.21279890163982904
0.05 x 0.05,GCFR,Elevation,87.92139836099855,0.4511425423930164
0.05 x 0.05,GCFR,Elevation,125.73014933883448,1.0045906673138407
0.05 x 0.05,GCFR,Elevation,102.8713919750738,0.6699819835091384
0.05 x 0.05,GCFR,Elevation,70.38697877617548,0.19447202591697174
0.05 x 0.05,GCFR,Elevation,162.00871894947954,1.53563985054635
0.05 x 0.05,GCFR,Elevation,43.6407104285709,-0.1970424167126857
0.05 x 0.05,GCFR,Elevation,19.562247419013293,-0.5495052688028564
0.05 x 0.05,GCFR,Elevation,165.073002848992,1.580495132314436
0.05 x 0.05,GCFR,Elevation,43.673077954577586,-0.19656861776102955
0.05 x 0.05,GCFR,Elevation,129.00311709667554,1.052500683425331
0.05 x 0.05,GCFR,Elevation,45.5743065771627,-0.16873825074275994
0.05 x 0.05,GCFR,Elevation,58.39256187654322,0.018896600362406653
0.05 x 0.05,GCFR,Elevation,29.91737186887434,-0.3979259634336578
0.05 x 0.05,GCFR,Elevation,53.14102683373003,-0.05797587352875062
0.05 x 0.05,GCFR,Elevation,35.757398476223685,-0.31243909354948857
0.05 x 0.05,GCFR,Elevation,86.25026587113061,0.426680344645361
0.05 x 0.05,GCFR,Elevation,64.05208746027299,0.1017412789420521
0.05 x 0.05,GCFR,Elevation,20.797347565799065,-0.5314257543346653
0.05 x 0.05,GCFR,Elevation,42.70615811236007,-0.21072248319651377
0.05 x 0.05,GCFR,Elevation,93.4537271858744,0.532125302610826
0.05 x 0.05,GCFR,Elevation,189.68353893716534,1.9407465211868284
0.05 x 0.05,GCFR,Elevation,101.97320677068905,0.6568342622979886
0.05 x 0.05,GCFR,Elevation,33.17981473452719,-0.3501700117039814
