resolution,region,variable,roughness,z_roughness
3QDS,Cape,NDVI,3601735.5119825723,-0.5677785951245605
3QDS,Cape,NDVI,4749704.653313269,-0.16412291268856688
3QDS,Cape,NDVI,6779099.292072932,0.5494648035203461
3QDS,Cape,NDVI,8384807.60348208,1.1140734335778435
3QDS,Cape,NDVI,9434219.072183024,1.483073685678358
3QDS,Cape,NDVI,9759032.946138518,1.597286656424419
3QDS,Cape,NDVI,11309911.030176193,2.142615558437923
3QDS,Cape,NDVI,11040148.164187873,2.0477599479115107
3QDS,Cape,NDVI,11323668.32073848,2.14745297811277
3QDS,Cape,NDVI,8825243.525255522,1.2689421109420291
3QDS,Cape,NDVI,7168302.40144415,0.6863186971165961
3QDS,Cape,NDVI,3454685.595704749,-0.6194851542734193
3QDS,Cape,NDVI,7826179.899691194,0.9176454644950023
3QDS,Cape,NDVI,2470651.1760926954,-0.9654971426519341
3QDS,Cape,NDVI,4719095.558306597,-0.17488586326696312
3QDS,Cape,NDVI,5547674.036246775,0.11646378971850063
3QDS,Cape,NDVI,5647310.330234868,0.1514984912598127
3QDS,Cape,NDVI,6156921.279049361,0.33069089976141886
3QDS,Cape,NDVI,4797858.587595774,-0.1471907422103161
3QDS,Cape,NDVI,2178268.444569027,-1.0683064837539764
3QDS,SWA,NDVI,3255802.3609661423,-0.6894176506734806
3QDS,SWA,NDVI,3516868.4840881242,-0.5976200401840837
3QDS,SWA,NDVI,3454210.7811890994,-0.6196521113547944
3QDS,SWA,NDVI,3610999.2973872437,-0.5645212082446931
3QDS,SWA,NDVI,4780091.687019977,-0.15343804461461466
3QDS,SWA,NDVI,2865563.4448006502,-0.8266357607659423
3QDS,SWA,NDVI,3173329.515176675,-0.7184172392956941
3QDS,SWA,NDVI,4197616.803170723,-0.35825129984676524
3QDS,SWA,NDVI,4456754.850650656,-0.26713165069017664
3QDS,SWA,NDVI,2469153.2080336562,-0.9660238670187911
3QDS,SWA,NDVI,2049292.136459666,-1.1136578941652442
3QDS,SWA,NDVI,5676168.922145653,0.16164591961175104
3QDS,SWA,NDVI,4978779.0804476105,-0.08357441109177195
3QDS,SWA,NDVI,2704683.287472384,-0.8832053908706977
3QDS,SWA,NDVI,1602683.07703429,-1.2706972066118103
3QDS,SWA,NDVI,2013575.6201281825,-1.1262167463634045
3QDS,SWA,NDVI,2191780.475034959,-1.0635553038812322
3QDS,SWA,NDVI,2731250.801060437,-0.8738635649958472
3QDS,SWA,NDVI,5642075.852691446,0.1496579133828354
3QDS,SWA,NDVI,5724957.84344928,0.1788013679727609
3QDS,SWA,NDVI,3710328.355661349,-0.5295945387378093
3QDS,SWA,NDVI,2198723.078839428,-1.061114104570485
3QDS,SWA,NDVI,2151204.922385463,-1.0778227190976069
3QDS,SWA,NDVI,2913827.1014099964,-0.8096650090757712
3QDS,SWA,NDVI,2680540.362182956,-0.8916946687030344
3QDS,SWA,NDVI,4390261.53496626,-0.2905124226584057
3QDS,SWA,NDVI,5229600.794155624,0.004620999717975245
